Label,Aardvark Field,Required,Controlled vocabulary,Multiple values allowed?,Source (FGDC XPath / Value),Usage notes,Crosswalk notes
Access Rights,dct_accessRights_s,Yes,Yes - strict,,idinfo/accconst,"Either ""public"" or ""restricted"" ","if idinfo/accconst is ""None"" then ""public"" else ""restricted"" "
Alternative Title,dct_alternative_sm,,,Yes,NA - not currently used,"This is new, might have applicability for datasets with other titles, including titles we have changed to meet our standard formats.  I think this will be useful for new datasets that we add and can keep the original title here.  I am not inclined to try and retcon existing collections however.",NA
Bounding Box,dcat_bbox,Yes,,,"idinfo/spdom/bounding (westbc, eastbc, northbc, southbc)","Defined by the geographic extent of the dataset.  Can use the bounding box extent as found in the geometry.  However, this extent is used for geographic searching and there may be situations in which altering the bounding box might be better for discovery. (One example are US datasets that include data for Guam, making the data functionally world coverage - it may be better to limit to state level extents).",All xml records have valid entry
Centroid,dcat_centroid,,,,Computed from bounding box,"While we could calculate this from bounding box, not sure that we need the functionality at the moment.  Leaning towards not using",NA
Creator,dct_creator_sm,,Yes - suggested,Yes,idinfo/citation/citeinfo/origin,"There should be a minimum of one of these in every record, multiple entries are fine.  Use entries from the Library of Congress Name Authority File if at all possible. ",Multi-value; collect all <origin> tags from the primary <citeinfo> block (not from <lworkcit>).  We have remediated all of these to LC names as of 7/2026
Date Issued,dct_issued_s,,,,idinfo/citation/citeinfo/pubdate,"This should be the date of publication NOT the date represented in the data.  Keep this is the YYYY single year formt. If published over a range, typically use final year.  Date ranges not forbidden by Aardvark standard but should be exceptional. ",All updated to YYYY format as of 7/2026
Date Range,gbl_dateRange_drsim,,,Yes,idinfo/timeperd/timeinfo/rngdates,"We have a few dozen records that use this field and we may implement down the road.  Only use if date ranges are essential and cannot reasonably be used in single date formats.  Default to YYYY to YYYY format unless narrower dates are necessary (Aarvark does not support without inhouse customization, but we may add that in the future).  Regardless this is not a replacement for Temporal Coverage","FGDC did not allow for single date and date range period both to be used in same record.  But Aarvark does.  So we may as well include this.   GeoBlacklight suggests a format in array that includes brackets: ""[YYYY TO YYYY]""  all relevant entries are already in YYYY pair formats"
Description,dct_description_sm,Yes,,Yes,idinfo/descript/abstract,"Single value; wrap in array. May contain HTML in some records - these can be enables in GeoBlacklight.  Any text can be included here and all will display on landing record.  Typically, we employ a first sentence that states the title and the data format, representation, geography and date.  For example: ""New York City NYPD Arrest Data, 2006 is a point theme representing every New York Police Department Arrest in the year 2006.""  Usually followed by a few sentences given overview information about the dataset - typical things to include are significant components of the attribute data, source material information, data format and projection.  If CUL staff did meaningful transformation of the data include a note to that effect as well.",All xml records have valid entry
Display Note,gbl_displayNote_sm,,,Yes,"NA - not currently used, however relevent info may be in abtract.","Entries in this field will be displayed in a colored box on the GeoBlacklight Landing page.  Will only be used in particular circumstances for specific messages.  For Example, for datasets that cannot be downloaded remotely. ",Will remediate after transfer
File Size,gbl_fileSize_s,,,,distinfo/transize,"We will start using this again now that it is supported but Aardvark.  Enter file size in megabytes - example ""25.96 MB"". Use approximate size of file before compressing - some files will be taken directly from PostGres and the direct download will be smaller when compressed.  So this won't really be accurate, but good to start working with.","These have been remediated as of 7/2026 and the exact value can be used.  Text entry with ""MB"" indicator as suggested by Aardvark.  "
Format,dct_format_s,Yes,Yes - suggested,,distinfo/stdorder/digform/digtinfo/formname,"Has a recommended vocabulary - https://opengeometadata.org/ogm-aardvark/#format.  Usually will be ""GeoPackage"" or ""GeoTIFF"" or ""TIFF""",All FDGC records in compliance with recommended vocabulary of  7/2026
Geometry,locn_geometry,Yes,,,"idinfo/spdom/bounding (westbc, eastbc, northbc, southbc)","Defined by the geographic extent of the dataset.  Can use the bounding box extent as found in the geometry.  However, this extent is used for geographic searching and there may be situations in which altering the bounding box might be better for discovery. (One example are US datasets that include data for Guam, making the data functionally world coverage - it may be better to limit to state level extents).","Convert to WKT ENVELOPE: ENVELOPE(westbc, eastbc, northbc, southbc). Note WKT ENVELOPE argument order is (minX, maxX, maxY, minY) = (west, east, north, south). Validate bounds are within ±180/±90."
Georeferenced,gbl_georeferenced_b,,Yes - strict,,spref,"Simple indicator for georeferenced data.  Will almost always be ""true""  some tabular data or scanned maps may be ""false""","If spref block is  present then ""true"" else ""false""  All record remediated for this as of 7/2026"
Identifier,id,Yes,,,distinfo/resdesc,"created by us, also used as filename.  Standard format is to create a short code identifying the provider/publisher and to use that at beginning of filename. Format typically is publisher_place_feature_year all lower case.  Examples; landinfo_london_roads_2010  leaddog_mexico_census_2007",All present and valid
Identifier,dct_identifier_sm,,,Yes,NA - not currently used,"New and can provide alternative identifier for other purposes, such as a DOI.  CIESIN collections would be good for this",Will remediate after transfer
Index Year,gbl_indexYear_im,,,Yes,idinfo/timeperd/timeinfo/sngdate/caldate or rngdates,"Integer year for faceting. Thus this most important single year for describing the dataset.  Use date that the data represents.  Use YYYY value only.  For date ranges, can use multiple values. Fall back to pubdate if caldate absent.","For files that use rngdates, enter every year in YYYY format inclusive. "
Is Part Of,dct_isPartOf_sm,,,Yes,idinfo/citation/citeinfo/lworkcit/citeinfo/title,"This is specifically for a ""subset of another item"" and that bigger item should have it's own record. Not sure that we have reasonable use for this in lieu of ""member of "" field",NA - we will not use for now
Is Replaced By,dct_isReplacedBy_sm,,,Yes,NA - no data for this at present,This is new - a solution for records that are superseded.  Historically we have removed these records (ESRI) but this may open up opportunity to keep in in the future.,Will remediate after transfer
Is Version Of,dct_isVersionOf_sm,,,Yes,NA - no data for this at present,This is new - a solution for records that are repeated.  Consider. ,Will remediate after transfer
Keyword,dcat_keyword_sm,,,Yes,"idinfo/keywords/theme[themekt=""None""]/themekey",This is new and for subject keywords that are not seen but are indexed for searching.  Almost all records have uncontrolled subject keywords that can come here.  Add freely but thoughtfully. ,"All theme keywords that have themekt=""None"" can be placed here.  Any controlled vocabularies go in Theme or Subject"
Language,dct_language_sm,,Yes - reccomended ,Yes,idinfo/descript/langdata," Aardvark expects ISO 639-2 codes, nearly all records should get an ""eng"" entry but may datasets may have components that are in other languages.  We will use this field now and can employ multiple languages","idinfo/descript/langdata is an extension for language data.  There is at least one value for every record, some have two. Include all. "
License,dct_license_sm,,,Yes,NA - no data for this at present,"This is new and can provide a uri to licenses information.  Can investigate for future use., ",NA
Member Of,pcdm_memberOf_sm,,,Yes,NA - no data for this at present,"This is not something we have used before and can allow collection level description.  Of all the new fields that allow relationship descriptions, this has the most promise for us and we should start to build collections around it. Should be implemented and needs remediation.  Aardvark recommends the creation of a collection record and the id of the record to be the entry here.  So we cannot do this till aardvark is implemented.  PRIORITY at that time.",Will remediate after transfer
Metadata Version,gbl_mdVersion_s,Yes,Yes - strict,,NA - hardcode,"Always ""Aardvark"". Hardcode.","All values should be ""Aardvark"""
Modified,gbl_mdModified_dt,,,,NA - we will enter curent date,"Enter the date this record is created, use  ISO 8601 datetime: YYYY-MM-DDT00:00:00Z.",FGDC format is YYYYMMDD; convert to W3C Date and Time Format: YYYY-MM-DDT00:00:00Z.  This should be updated when metadata is modified so enter current date and time. 
Provider,schema_provider_s,Yes,Yes - reccomended ,,NA - hardcode,"Always ""Columbia"". Hardcode.","All values should be ""Columbia"""
Publisher,dct_publisher_sm,,Yes - reccomended ,Yes,idinfo/citation/citeinfo/pubinfo/publish,Single publisher name. Recommended vocabulary is LOC Names NOT the publisher entry as used on materials. ,All records remediated as of 7/2026.  One publisher entry from LC name authorities.
References (Links),dct_references_s,Yes,,,idinfo/citation/citeinfo/onlink,"DIRECT DOWNLOAD LINK - References is where all links can go, currently there is one of these for direct download for almost all records.  ",All records remediated. One and only one link for almost all records. 
References (Links),dct_references_s,,,,Construct from GBL base URL + record ID,"Can make a link also to Geodata landing page.  ""https://geodata.library.columbia.edu/catalog/""  followed buy the record ID. ","This can be constructed by the GeoData landing page link ""https://geodata.library.columbia.edu/catalog/""  followed by the record ID.  "
References (Links),dct_references_s,,,,Hardcoded - https://geoserver.cul.columbia.edu/geoserver/sde/ows,"WFS endpoint, can be hardcoded and combined with WxS identified field.  ","All values should be ""https://geoserver.cul.columbia.edu/geoserver/sde/ows""  Only include if access rights value is ""public"" otherwise blank"
References (Links),dct_references_s,,,,Hardcoded - https://geoserver.cul.columbia.edu/geoserver/wms/sde,"WMS endpoint, can be hardcoded and combined with WxS identified field.  ","All values should be ""https://geoserver.cul.columbia.edu/geoserver/wms/sde""  Only include if access rights value is ""public"" otherwise blank"
Relation,dct_relation_sm,,,Yes,NA - no data for this at present,"Can create relations that are more general than other option allow.  Does not require a separate creation of a ""collection"" record. Could have some utility for us.  Consider. ",Data for this can be found in /metadata/idinfo/crossref/citeinfo but there is no id in here to input.  Also many of these will not be in our collection.  So we will ignore
Replaces,dct_replaces_sm,,,Yes,NA - no data for this at present,"This is new - a solution for records that are superseded.  Companion to ""Is replaced by"" but maybe more useful and easier to implement if we don’t surface older editions.  Consider",Will remediate after transfer
Resource Class,gbl_resourceClass_sm,Yes,yes - strict,Yes,NA - not currently used,"New field and required.  There is a recommended list of terms, most of ours will be ""Datasets"" or ""Maps"".  Will need to hardcode.  Will investigate",Will remediate after transfer
Resource Type,gbl_resourceType_sm,,Yes - recommended ,Yes,spdoinfo/ptvctinf/sdtsterm/sdtstype (Vector) or spdoinfo/rastinfo/rasttype (Raster),"Most of our collection will be one of ""Point data"", ""Line data"", ""Polygon data"", or ""Raster data"".  See the reccomended vocabularies for alternate cases. ","Most of our collection will be one of ""Point data"", ""Line data"", ""Polygon data"", or ""Raster data"".  Here is the logic: if spdoinfo\ptvctinf\sdtsterm\sdtstype = ""String"" then ""Line data"".  if spdoinfo\ptvctinf\sdtsterm\sdtstype = ""G-polygon"" then ""Polygon data"".   if spdoinfo\ptvctinf\sdtsterm\sdtstype = ""Entity point"" then ""Point data"".  if spdoinfo\direct = ""Raster"" then ""Raster data"".   Some of the raster data and misc types will need remediated after transfer"
Rights,dct_rights_sm,,,Yes,idinfo/useconst,Free text; use as-is. Consider supplementing with standard Columbia rights statement for public domain records.,Free text; use as-is. 
Rights Holder,dct_rightsHolder_sm,,,Yes,distinfo/cntorg,Use LC names for this as recommended by Aardvark.  Usually will be same as origin. ,All updated and in accordance with LC names recommendation
Source,dct_source_sm,,,Yes,NA - not currently ised,"Source datasets used. Use record IDs if sources are in the collection.  We don't have records of these source materials and probably will not employ for now.  For works that are wholly derived from another (like the scanned maps). There is some information on this in the xml that you can take from the dataqual/lineage/srcinfo/srccite/citeinfo/title.  However, these are not all applicable nor do they have records that we can include ID for.  Some may have other IDs we can link to (like CLIO records for maps or other DOIs) but this is low priority and can be tabled for now.  I have made a table of all extant entries we can revisit later.","Some dataqual/lineage/srcinfo/srccite/citeinfo/title entries are relevant, but we will not use for now and  will need remediated after transfer.  Ignore for now"
Spatial Coverage,dct_spatial_sm,,,Yes,idinfo/keywords/place/placekey,  Geonames recommended here and we have added one for all.  Recommendations are for largest extent with a preference for nations - done. Other controlled and uncontrolled terms are in almost every record and we can keep all. ,Collect all <placekey> values across all <place> blocks.
Subject,dct_subject_sm,,,Yes,"idinfo/keywords/theme[themekt!=""ISO 19115 Topic Category"" AND themekt!=""None"" ]/themekey","Controlled vocabularies are encouraged but not required.  We have many uncontrolled keywords along with LC and a variety of others.  No real GeoBlacklight standard other than Iso which will go in Theme.  Uncontrolled subjects will go in keyword where indexed but not displayed.  These can be displayed if needed.  Using LC subjects fine but not required, use judgement but fine to leave blank.",Any themekey from non-ISO or uncontrolled vocabularies can go here. 
Suppressed,gbl_suppressed_b,,Yes - strict,,FALSE,Default; set to true for records under embargo,"Set to ""FALSE"" for all"
