Canonical Form,Total Record Count,Match 1 Label,Match 1 URI,Match 1 Score,Match 2 Label,Match 2 URI,Match 2 Score,Match 3 Label,Match 3 URI,Match 3 Score,Possible Group Match (needs review)
International Steering Committee for Global Mapping (ISCGM),822,International Steering Committee for Global Mapping,http://id.loc.gov/authorities/names/no2002090400,93%,,,,,,,
University of Michigan. China Data Center.,489,University of Michigan. China Data Center,http://id.loc.gov/authorities/names/no2006023263,99%,,,,,,,
"East View Cartographic, Incorporated",323,,,,,,,,,,
"Research Data Services (RDS), Columbia University Libraries",160,,,,,,,,,,
New York (N.Y.). Police Department,157,New York (N.Y.). Police Academy,http://id.loc.gov/authorities/names/no2014169986,83%,New York Police Department Quartet,http://id.loc.gov/authorities/names/n00070007,76%,New York (N.Y.). Police Department. Noise Abatement Program,http://id.loc.gov/authorities/names/n2018188832,73%,New York (N.Y.). Department of Transportation (62%); New York (N.Y.). Department of Sanitation (62%); New York (N.Y.). Department of Education (62%)
"Environmental Systems Research Institute (Redlands, Calif.)",142,"Environmental Systems Research Institute (Redlands, Calif.)",http://id.loc.gov/authorities/names/n83191197,100%,"Environmental Systems Research Institute (Redlands, Calif.). Transportation Group",http://id.loc.gov/authorities/names/no2010109385,84%,"Environmental Systems Research Institute (Redlands, Calif.). Petroleum Solutions Group",http://id.loc.gov/authorities/names/no2007035124,81%,
United States. Agency for International Development,133,United States. Agency for International Development. Programma razvitii︠a︡ predprinimatelʹstva,http://id.loc.gov/authorities/names/n97058230,70%,United States. Agency for International Development. Bureau for Africa. Office of Development Planning,http://id.loc.gov/authorities/names/n90695539,67%,United States. Agency for International Development. Bureau for Latin America. Rural Development Division,http://id.loc.gov/authorities/names/n78001310,65%,
United States. Defense Mapping Agency,130,United States. Defense Mapping Agency. Security Office,http://id.loc.gov/authorities/names/n88112256,81%,United States. Defense Mapping Agency Aerospace Center,http://id.loc.gov/authorities/names/no2016157798,81%,United States. Defense Mapping Agency. Topographic Center,http://id.loc.gov/authorities/names/n79119420,79%,United States. Defense Mapping Agency. Hydrographic/Topographic Center. (62%)
New York (N.Y.). Department of City Planning,128,New York (N.Y.). Department of City Planning. Population Division,http://id.loc.gov/authorities/names/nr97012628,81%,New York (N.Y.). Department of City Planning. Transportation Division,http://id.loc.gov/authorities/names/n00097878,78%,New York (N.Y.). Department of City Planning. Community Assistance Unit,http://id.loc.gov/authorities/names/n86076267,77%,New York (N.Y.). Department of Transportation (67%); New York (N.Y.). Department of Sanitation (67%); New York (N.Y.). Department of Education (67%); New York (N.Y.). Department of Environmental Protection (60%)
New York (N.Y.). Department of Information Technology and Telecommunications.,114,New York (N.Y.). Department of Information Technology and Telecommunications.,http://id.loc.gov/authorities/names/no2001029622,100%,,,,,,,
"Boundary Solutions, Inc.",103,"Boundary Solutions, Inc.",http://id.loc.gov/authorities/names/no2012100941,100%,,,,,,,
"CHGIS, Harvard Yenching Institute",99,,,,,,,,,,
"LeadDog Consulting, LLC",92,,,,,,,,,,
New York (N.Y.). Department of Health and Mental Hygiene,91,New York (N.Y.). Department of Health and Mental Hygiene. Office of AIDS Policy,http://id.loc.gov/authorities/names/n2006055451,83%,New York (N.Y.). Department of Health and Mental Hygiene. Lead Poisoning Prevention Program,http://id.loc.gov/authorities/names/no2005057306,76%,"New York (N.Y.). Department of Health and Mental Hygiene. Bureau of Planning, Evaluation, and Quality Improvement",http://id.loc.gov/authorities/names/n2004013400,66%,
Community Cartography,70,CommunityCartography (Firm),http://id.loc.gov/authorities/names/no2005002080,83%,Projeto Nova Cartografia Social da Amazônia,http://id.loc.gov/authorities/names/no2008017707,34%,,,,
United States. National Imagery and Mapping Agency,51,United States. National Imagery and Mapping Agency,http://id.loc.gov/authorities/names/no96054864,100%,Pub. (United States. National Imagery and Mapping Agency),http://id.loc.gov/authorities/names/no96064017,93%,United States. National Imagery and Mapping Agency. Geodesy & Geophysics,http://id.loc.gov/authorities/names/no00079066,82%,
United States. Bureau of Transportation Statistics,46,Special report (United States. Bureau of Transportation Statistics),http://id.loc.gov/authorities/names/no2009013661,85%,"Fletcher, Wendell (United States. Bureau of Transportation Statistics)",http://id.loc.gov/authorities/names/no2024140138,83%,United States. Bureau of Transportation Statistics. Office of Survey Programs,http://id.loc.gov/authorities/names/no2002013148,79%,Bureau of Transportation Statistics (67%)
Sanborn Map Company,36,Sanborn Map Company,http://id.loc.gov/authorities/names/n80082435,100%,Sanborn-Perris Map Co.,http://id.loc.gov/authorities/names/n80084431,68%,Sanborn (Firm),http://id.loc.gov/authorities/names/n2006005118,55%,
Geological Survey (U.S.),32,"U.S. Geological Survey Pressure-Sensor Workshop (1992 : Denver, Colo.)",http://id.loc.gov/authorities/names/no95044557,45%,"U.S. Geological Survey Scientific Visualization Workshop (1994 : New Orleans, La.)",http://id.loc.gov/authorities/names/no95024845,42%,"U.S. Geological Survey Interdisciplinary Microbiology Workshop (2008 : Estes Park, Colo.)",http://id.loc.gov/authorities/names/no2010172144,39%,
Center for Integrated Earth System Information (CIESIN),29,,,,,,,,,,
infoUSA,28,infoUSA (Firm),http://id.loc.gov/authorities/names/no97021489,67%,BusinessCreditUSA.com (Firm),http://id.loc.gov/authorities/names/no2001058977,29%,American Church Lists (Firm),http://id.loc.gov/authorities/names/no2003016443,17%,
"TomTom North America, Inc.",26,,,,,,,,,,
