Canonical Form,Total Record Count,Match 1 Label,Match 1 URI,Match 1 Score,Match 2 Label,Match 2 URI,Match 2 Score,Match 3 Label,Match 3 URI,Match 3 Score,Possible Group Match (needs review)
All China Marketing Research Co.,486,Beijing Hua tong ren shi chang xin xi you xian ze ren gong si,http://id.loc.gov/authorities/names/no98050847,32%,,,,,,,
ESRI,356,"Rose, Esri",http://id.loc.gov/authorities/names/n2009030783,57%,Esri Press,http://id.loc.gov/authorities/names/no2014102094,57%,"Allbritten, Esri",http://id.loc.gov/authorities/names/n2011012617,40%,
"East View Cartographic, Incorporated",318,,,,,,,,,,
New York (N.Y.). Police Department,157,New York (N.Y.). Police Academy,http://id.loc.gov/authorities/names/no2014169986,83%,New York Police Department Quartet,http://id.loc.gov/authorities/names/n00070007,76%,New York (N.Y.). Police Department. Noise Abatement Program,http://id.loc.gov/authorities/names/n2018188832,73%,New York (N.Y.). Department of Transportation (62%); New York (N.Y.). Department of Sanitation (62%); New York (N.Y.). Department of Education (62%)
EDC/International Program,132,,,,,,,,,,
"Boundary Solutions, Inc.",103,"Boundary Solutions, Inc.",http://id.loc.gov/authorities/names/no2012100941,100%,,,,,,,
"CHGIS, Harvard Yenching Institute",90,,,,,,,,,,
Department of Information Technology and Telecommunications,80,New York (N.Y.). Department of Information Technology and Telecommunications.,http://id.loc.gov/authorities/names/no2001029622,87%,United States. Department of Justice. Computer Technology and Telecommunications Staff,http://id.loc.gov/authorities/names/n84141668,70%,Virginia. Department of Information Technology,http://id.loc.gov/authorities/names/n86108859,69%,>Department of Information Technology and Telecommunications (100%); Department of Information Technology and Telecommunication (71%); New York (N.Y.). Department of Information Technology and Telecommunications. (60%)
National Imagery and Mapping Agency,61,United States. National Imagery and Mapping Agency,http://id.loc.gov/authorities/names/no96054864,82%,Pub. (United States. National Imagery and Mapping Agency),http://id.loc.gov/authorities/names/no96064017,76%,Independent Commission on the National Imagery and Mapping Agency (U.S.),http://id.loc.gov/authorities/names/no2011099569,65%,
International Steering Committee for Global Mapping (ISCGM),46,International Steering Committee for Global Mapping,http://id.loc.gov/authorities/names/no2002090400,93%,,,,,,,
New York City Department of City Planning,44,New York (N.Y.). Department of City Planning. Population Division,http://id.loc.gov/authorities/names/nr97012628,72%,New York (N.Y.). Department of City Planning. Community Assistance Unit,http://id.loc.gov/authorities/names/n86076267,68%,New York City Transit Authority. Department of Planning and Budget,http://id.loc.gov/authorities/names/no2014141521,67%,New York (City). Department of City Planning. (100%); City of New York Department of City Planning (100%)
NYC Department of City Planning,40,,,,,,,,,,
City of New York Department of City Planning,34,New York (N.Y.). Department of City Planning. Population Division,http://id.loc.gov/authorities/names/nr97012628,66%,New York (N.Y.). Department of City Planning. Community Assistance Unit,http://id.loc.gov/authorities/names/n86076267,63%,New York (N.Y.). Department of City Planning. Transportation Design Section,http://id.loc.gov/authorities/names/no2014163132,61%,New York City Department of City Planning (100%); New York (City). Department of City Planning. (100%)
"The Agency,",34,"Conference on the Statute of the International Atomic Energy Agency (1956 : New York, N.Y.)",http://id.loc.gov/authorities/names/n2016184583,22%,"McFadden, John J. (Of the Southwest Research Institute, United States Environmental Protection Agency)",http://id.loc.gov/authorities/names/no2016004672,18%,"Westminster Education Forum Keynote Seminar: Next steps for children's mental health - effective multi-agency collaboration, provision in schools and the impact of screen use (2019 : London, England)",http://id.loc.gov/authorities/names/nb2022012827,10%,
infoUSA,28,infoUSA (Firm),http://id.loc.gov/authorities/names/no97021489,67%,BusinessCreditUSA.com (Firm),http://id.loc.gov/authorities/names/no2001058977,29%,American Church Lists (Firm),http://id.loc.gov/authorities/names/no2003016443,17%,
"The Center,",28,"O'Rourke, Joseph (Of the Naval Air Development Center)",http://id.loc.gov/authorities/names/no2014154565,31%,"Seminar on the Planning of the Statistical Activities of the European Centre for Higher Education, Bucharest, 1974",http://id.loc.gov/authorities/names/n77011397,18%,Conference on the Western Hemisphere: Issues for the 1970's (1971 : Center for Inter-American Relations),http://id.loc.gov/authorities/names/no94000283,17%,
New York (N.Y.). Department of Education,25,New York (N.Y.). Department of Education (2014- ),http://id.loc.gov/authorities/names/n2016004236,90%,"St. Francis College (Brooklyn, New York, N.Y.). Department of Education",http://id.loc.gov/authorities/names/n83183751,70%,New York (N.Y.). Department of Education. Division of Teaching and Learning,http://id.loc.gov/authorities/names/n2014053232,70%,New York (N.Y.). Department of Transportation (75%); New York (N.Y.). Department of Sanitation (75%); New York (N.Y.). Department of Environmental Protection (67%); New York (N.Y.). Police Department (62%); New York (N.Y.). Department of Parks and Recreation (60%)
Research and Innovative Technology Administration's Bureau of Transportation Statistics (RITA/BTS),22,,,,,,,,,,Research and Innovative Technology Administration's Bureau of Transportation Statistics (83%); Research and Innovative Technology Administration/Bureau of Transportation Statistics (75%)
Columbia University Libraries,20,Columbia University. Libraries. Area Studies,http://id.loc.gov/authorities/names/no2005040354,79%,Columbia University. Libraries. Resources Group,http://id.loc.gov/authorities/names/n96026784,76%,Columbia University. Libraries. Manuscript. Plimpton 260,http://id.loc.gov/authorities/names/no2014138066,68%,
New York (N.Y.). Department of Transportation,20,New York (N.Y.). Department of City Planning. Transportation Design Section,http://id.loc.gov/authorities/names/no2014163132,75%,New York (N.Y.). Subregional Transportation Planning Program,http://id.loc.gov/authorities/names/n87818489,65%,New York (N.Y.). Parking Violations Bureau,http://id.loc.gov/authorities/names/no91009658,64%,New York (N.Y.). Department of Sanitation (75%); New York (N.Y.). Department of Education (75%); New York (N.Y.). Department of Environmental Protection (67%); New York (N.Y.). Police Department (62%); New York (N.Y.). Department of Parks and Recreation (60%)
Australian Surveying and Land Information Group (AUSLIG),20,Australian Surveying and Land Information Group,http://id.loc.gov/authorities/names/n92122012,91%,,,,,,,
"Defense Mapping Agency Hydrographic/Topographic Center,",18,United States. Defense Mapping Agency. Hydrographic/Topographic Center,http://id.loc.gov/authorities/names/n81134632,86%,Pub. (United States. Defense Mapping Agency. Hydrographic/Topographic Center),http://id.loc.gov/authorities/names/n42019917,82%,United States. Defense Mapping Agency. Hydrographic/Topographic Center. Providence Office,http://id.loc.gov/authorities/names/n88077253,75%,"Defense Mapping Agency, Hydrographic/Topographic Center, (100%); Defense Mapping Agency Hydrographic-Topographic Center, (100%); : Defense Mapping Agency Hydrographic/Topographic Center, (100%)"
New York (N.Y.). Department of Information Technology and Telecommunications.,17,New York (N.Y.). Department of Information Technology and Telecommunications.,http://id.loc.gov/authorities/names/no2001029622,100%,,,,,,,Department of Information Technology and Telecommunications (60%); >Department of Information Technology and Telecommunications (60%)
National Atlas of the United States,14,Sheet of the National atlas of the United States,http://id.loc.gov/authorities/names/no2010147661,84%,Geological Survey (U.S.) National atlas of the United States of America. Location index,http://id.loc.gov/authorities/names/n80029777,57%,"Co-operation Agreement between the Department of Energy of the United States of America and the National Science Foundation of the United States of America and the European Organization for Nuclear Research Concerning Scientific and Technical Co-operation in Nuclear and Particle Physics (2015 May 7). Protocols, etc. (2015 December 18 : Experiments Protocol II). Protocols, etc. (2017 April 28)",http://id.loc.gov/authorities/names/no2023110905,0%,
Lyft (Firm),13,Lyft (Firm),http://id.loc.gov/authorities/names/no2018114772,100%,,,,,,,
"Asheville, North Carolina",12,North Carolina--Asheville,http://id.loc.gov/authorities/names/n79063971-781,56%,North Carolina--West Asheville,http://id.loc.gov/authorities/names/n2019059163-781,51%,University of North Carolina at Asheville Foundation,http://id.loc.gov/authorities/names/n87885366,44%,
New York (N.Y.). Department of Parks and Recreation,12,New York (N.Y.). Department of Parks and Recreation,http://id.loc.gov/authorities/names/n83188545,100%,New York (N.Y.). Department of Parks and Recreation. Historic Houses Unit,http://id.loc.gov/authorities/names/n88236055,82%,New York (N.Y.). Prospect Park Administrator,http://id.loc.gov/authorities/names/no89017302,65%,New York (N.Y.). Department of Transportation (60%); New York (N.Y.). Department of Sanitation (60%); New York (N.Y.). Department of Education (60%)
Institut Geographique du Burkina,12,Institut géographique du Burkina,http://id.loc.gov/authorities/names/n85189291,97%,,,,,,,
Survey of Bangladesh,11,Geological Survey of Bangladesh,http://id.loc.gov/authorities/names/n78067189,78%,Cultural survey of Bangladesh series,http://id.loc.gov/authorities/names/no2009163134,71%,Cultural Survey of Bangladesh Project,http://id.loc.gov/authorities/names/n2008210559,70%,
U.S. Geological Survey,11,"U.S. Geological Survey Pressure-Sensor Workshop (1992 : Denver, Colo.)",http://id.loc.gov/authorities/names/no95044557,48%,"U.S. Geological Survey Scientific Visualization Workshop (1994 : New Orleans, La.)",http://id.loc.gov/authorities/names/no95024845,42%,U.S. Geological Survey Coastal Plain Amplification Virtual Workshop (2020 : Online),http://id.loc.gov/authorities/names/no2022130446,42%,Geological Survey (U.S.) (100%)
